# tools/coined-terms/terms.tsv
# DD-CYN-0123 J-4 / 禁則#61 — 当機の造語を一般的な技術用語へ置き換えるための語のデータ。
# 出どころ: DD-CYN-0122 §6-1 の置き換え表。
#
# 形式: <造語>\t<置き換え先>\t<備考(任意)>  (タブ区切り。# 始まりはコメント)
#
# 注意1: 置き換えない語は tools/coined-terms/allowed-words.tsv に分けてある。
#        この表と突き合わせて、除外の一覧に載っている語は当てないこと。
# 注意2: 短い造語(根・木・像・枝・姿・窓)は長い語の一部として現れる。
#        この表は長い造語を先に並べてある。上から順に当てること。
伏字	マスキング／PII マスキング	
索引	インデックス	
合言葉	パスワード	
外の口	外部の推論サーバ(MAS)	
入れ物	コンテナ	
控え	バックアップ	除外あり: 控えめ / マイナンバー控え (allowed-words.tsv)
置き場所	フォルダ／保存先	「置き場」より先に当てること(長い方を優先)
置き場	フォルダ／保存先	
取り寄せる	ダウンロードする	「取り寄せ」より先に当てること(長い方を優先)
取り寄せ	ダウンロード	
案内	ガイド／ドキュメント	STARTUP.md などを指す場合はファイル名で書く。除外あり: 会社案内
梱包	パッケージング	
根	ルートディレクトリ／取り込み元のルート	木の根・ソースの根。除外あり: 根拠 / 根本 / 根因
木	ディレクトリツリー	除外あり: 六本木
出どころ	入手元／配布元	
写し	コピー	
複写	コピー	
目印	マーカー／ラベル	
枝	ブランチ／分岐	正規表現の選択枝(桁枝・各枝・連続桁枝)は「分岐」で意味が通る
土台	Podman・conda と実名で書く	置き換え先は文脈ごとに実名を選ぶ
像	イメージ	コンテナイメージを指す場合のみ。除外あり: 画像 / 映像 / 想像 / 写像 / 利用者像
指紋	SHA256／ハッシュ	
走行	実行／作業	
押す道	操作手順	
後片づけ	アンインストール	表記ゆれ「後片付け」7件も同じ扱い
姿	構成／パターン	除外あり: 姿勢
部品表	マニフェスト	
窓口	インターフェース／ラッパー	「窓」より先に当てること(長い方を優先)。除外あり: 報告窓口
窓	インターフェース／ラッパー	薄い窓口・鍵窓口・冪等な窓口
埋め込みの窓	埋め込みのエンドポイント	「窓」より先に当てること(長い方を優先)
別窓	別ウィンドウ	「窓」より先に当てること(長い方を優先)
