# tools/coined-terms/allowed-words.tsv
# DD-CYN-0123 J-5/J-6/J-7 / 禁則#61 — 造語ではないので置き換えない語(除外の一覧)。
#
# 形式: <語>\t<なぜ造語ではないか>\t<主な出現箇所>  (タブ区切り。# 始まりはコメント)
#
# ── 語を足すときの条件 (J-7) ────────────────────────────────
# 実在の日本語であり、辞書または業界の用語集に載っていることを確かめてから足す。
# 「置き換えると意味が壊れるから」だけを理由にしない。
# 条件を満たすか判断できない語は、足さずに指示者へ挙げること。
# ──────────────────────────────────────────────────
#
# 件数は 2026-08-17 の実測値。数えた範囲は、この置き場の
# .md .txt .html .sh .py .command のうち hansolo/ dummy-corpus/ demo_data/ を除いたもの。
# falcon / chewie / falcon-docker-beta の3つの木に同じ文が入るため、件数は3の倍数になりやすい。
六本木	地名(東京都港区の町名)。辞書・住所表記に載っている。「木」を当てると「六本ディレクトリツリー」になる。	falcon/docs/demo-general.html:835,848 ほか3ツリー 計6件 (見本の資料の住所)
マイナンバー控え	制度上の正規の言い方(本人へ交付される控え)。行政の用語。	falcon/docs/demo-general.html:836,849 ほか3ツリー 計6件 (見本の資料の項目名)
控えめ	普通の形容動詞。辞書に載っている。	falcon/frontend/index.html:591 ほか3ツリー 計3件 (HTML のコメント)
利用者像	ペルソナの標準的な訳語。	falcon/docs/rbac.md:22 と docs/html/rbac.html:239 ほか3ツリー 計6件 (表の見出し)
根因	品質管理(QC)の分野で定着した語。「根本原因の略」ではない。	falcon/server.py:3262 ほか3ツリー 計3件 (コード注釈)
報告窓口	相談・通報の受付先を指す一般語。辞書に載っている。	falcon/SECURITY.md:8, falcon/docs/security-policy.md:163 ほか 計9件 (「脆弱性報告窓口」6件を含む)
覚書	法務の正式な文書種別(memorandum)。契約文書の分類パターンの正規表現の一部で、値を変えると分類の挙動が変わる。	falcon/utils/metadata/classification.py:186 ほか3ツリー 計3件
束ねる	普通の動詞。辞書に載っている。	falcon/docs/metadata-engine.md:117 と docs/html/metadata-engine.html:381 ほか 計6件
写像	数学の標準用語(mapping)。	falcon/core/roles.py:6,14 / falcon/routers/sources.py / falcon/rag.py:1715 ほか 計28件 (「表示写像」を含む)
画像	一般語。辞書に載っている。	計201件・75ファイル (falcon/config.py の「画像処理」ほか)
映像	一般語。辞書に載っている。	計0件。将来の巻き添えを防ぐため予防的に収録
想像	一般語。辞書に載っている。	falcon/tools/build_clean_demo_db.py ほか3ツリー 計3件
段階	一般語。辞書に載っている。	計102件・78ファイル (「段階的」「二段階」「各段階」も同じ)
手段	一般語。辞書に載っている。	計8件・8ファイル (falcon/docs/guardrails.md の「補助手段」を含む)
根拠	一般語。辞書に載っている。	計225件・72ファイル (「根拠不足」「実装根拠」「設計根拠」も同じ)
根本	一般語。辞書に載っている。	計6件・6ファイル (「根本原因」「根本解決」も同じ)
一片	一般語。辞書に載っている。	計0件。将来の巻き添えを防ぐため予防的に収録
片方	一般語。辞書に載っている。	計27件・14ファイル (falcon/docs/operations.md ほか)
姿勢	辞書語。「姿」だけを当てると「構成勢」になる。	falcon/server.py:3029 と falcon-docker-beta/server.py:3029 計2件 (「実行時のオフライン姿勢は不変」)
会社案内	会社を紹介する冊子を指す語。商業・印刷業界の用語集に載っている。	falcon/QUICKSTART.md:96 ほか3ツリー 計3件 (デモ資料の例示)
断片	辞書語(fragment)。§6-2 の「一片・片方」と同じ「片」の巻き添え。	計72件・15ファイル (falcon/rag.py の「境界断片」「先頭断片」「末尾断片」、falcon/docs/llm-connection.md:91 ほか)
書き写し	辞書語「書き写す」の連用形。一語の動詞であり、造語の「写し」ではない。	falcon/routers/chat.py:198 ほか3ツリー 計3件 (「回答本文へ書き写してくる」)
